acteurs,date,descriptions,duree,genre,langue,pays,public,score,titre,titre_original,url
"Tim Robbins,Morgan Freeman,Bob Gunton",1994,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142,Drama,English,United States,R,9.3,The Shawshank Redemption,,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Jean Reno,Gary Oldman,Natalie Portman",1994,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",110,"Action,Crime,Drama","English,Italian,French","France,United States",R,8.5,Léon: The Professional,Léon,"https://m.media-amazon.com/images/M/MV5BOTgyMWQ0ZWUtN2Q2MS00NmY0LWI3OWMtNjFkMzZlNDZjNTk0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,1,190,281_.jpg"
"Russell Crowe,Joaquin Phoenix,Connie Nielsen",2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,155,"Action,Adventure,Drama",English,"United States,United Kingdom,Malta,Morocco",R,8.5,Gladiator,,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Edward Norton,Edward Furlong,Beverly D'Angelo",1998,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,119,"Crime,Drama",English,United States,R,8.5,American History X,,"https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Anthony Perkins,Janet Leigh,Vera Miles",1960,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",109,"Horror,Mystery,Thriller",English,United States,R,8.5,Psycho,,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Adrien Brody,Thomas Kretschmann,Frank Finlay",2002,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,150,"Biography,Drama,Music","English,German,Russian","France,Poland,Germany,United Kingdom",R,8.5,The Pianist,,"https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR7,0,190,281_.jpg"
"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong",2019,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,132,"Drama,Thriller","Korean,English",South Korea,R,8.5,Parasite,Gisaengchung,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Matthew Broderick,Jeremy Irons,James Earl Jones",1994,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88,"Animation,Adventure,Drama","English,Swahili,Xhosa,Zulu",United States,G,8.5,The Lion King,,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Daveigh Chase,Suzanne Pleshette,Miyu Irino",2001,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125,"Animation,Adventure,Family","Japanese,English",Japan,PG,8.6,Spirited Away,Sen to Chihiro no kamikakushi,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
"Michael J. Fox,Christopher Lloyd,Lea Thompson",1985,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",116,"Adventure,Comedy,Sci-Fi",English,United States,PG,8.5,Back to the Future,,"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,7,190,281_.jpg"
