acteurs,date,descriptions,duree,episode,genre,langue,nb_saison,pays,public,score,titre,titre_original,url
"David Attenborough,Chadden Hunter,Gordon Buchanan",2016,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,298,6,Documentary,,1 Season,"United Kingdom,Germany,France,China,United States",TV-G,10,Planet Earth II,,
"Nic Pizzolatto,Vince Vaughn,Colin Farrell,Rachel McAdams",2014–2019,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,25,"Crime,Drama,Mystery",,3 seasons,United States,TV-MA,9,True Detective,,
"John Sullivan,David Jason,Nicholas Lyndhurst,Roger Lloyd Pack",1981–2003,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,95,64,Comedy,,9 seasons,United Kingdom,TV-PG,9,Only Fools and Horses,Only Fools and Horses....,
"The Beatles,John Lennon,Paul McCartney",2021,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',468,3,"Documentary,Biography,Music",,1 Season,"United Kingdom,New Zealand,United States",PG-13,9,The Beatles: Get Back,,
"Vince Gilligan,Peter Gould,Bob Odenkirk,Rhea Seehorn,Jonathan Banks",2015–2022,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,46,63,"Crime,Drama",,6 seasons,United States,TV-MA,9,Better Call Saul,,
"Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko",1989–1990,"Ten television drama films, each one based on one of the Ten Commandments.",572,10,Drama,,1 Season,"Poland,West Germany",TV-MA,9,Dekalog,,
"Larry David,Jerry Seinfeld,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards",1989–1998,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,22,173,Comedy,,9 seasons,United States,TV-PG,9,Seinfeld,,
"David McCullough,Sam Waterston,Julie Harris",1990,A comprehensive survey of the American Civil War.,680,9,"Documentary,History,War",,1 Season,United States,TV-14,9,The Civil War,,
"Yoshihiro Togashi,Issei Futamata,Megumi Han,Cristina Valenzuela",2011–2014,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",24,148,"Animation,Action,Adventure",,1 Season,"Japan,Poland",TV-14,9,Hunter x Hunter,,
"Mamoru Miyano,Brad Swaile,Vincent Tong",2006–2007,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,24,37,"Animation,Crime,Drama",,1 Season,Japan,TV-14,9,Death Note,Death Note: Desu nôto,
"John Hurt,Roger Munns",2011,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,50,8,Documentary,,1 Season,United Kingdom,TV-PG,9,Human Planet,,
"David Attenborough,Pierce Brosnan,Peter Scoones",2001,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",389,8,Documentary,,1 Season,"United Kingdom,Germany",TV-G,9,The Blue Planet,,
"Josh Grelle,Bryce Papenbrook,Yûki Kaji",2013–2023,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24,97,"Animation,Action,Adventure",,4 seasons,Japan,TV-MA,9,Attack on Titan,Shingeki no Kyojin,
